x,y,label,relevant
25.73636245727539,17.048885345458984,bag,False
25.53328514099121,16.397884368896484,bag,False
24.636775970458984,16.55115509033203,bag,False
23.741138458251953,16.12809181213379,bag,False
21.345251083374023,14.088835716247559,bag,False
26.680513381958008,16.90481948852539,bag,False
21.37610626220703,15.03398609161377,bag,False
-20.801631927490234,-12.771973609924316,bag,False
-20.193849563598633,-16.168001174926758,bag,False
-21.26410484313965,-11.952192306518555,bag,False
-22.471073150634766,-17.28104019165039,bag,False
-22.033145904541016,-16.987947463989258,bag,False
26.21921730041504,16.500991821289062,bag,False
-20.439260482788086,-14.379837989807129,bag,False
-20.985843658447266,-17.53634262084961,bag,False
-20.73813247680664,-16.598247528076172,bag,False
-22.289566040039062,-19.231552124023438,bag,False
-20.399484634399414,-16.510784149169922,bag,False
-21.188642501831055,-12.141138076782227,bag,False
-20.937034606933594,-15.763479232788086,bag,False
22.832504272460938,16.10593605041504,bag,False
-18.65251922607422,-20.163333892822266,bag,False
-18.683467864990234,-19.81390380859375,bag,False
-18.53543472290039,-21.106151580810547,bag,False
-18.246706008911133,-17.740365982055664,bag,False
-18.505413055419922,-16.7852725982666,bag,False
-18.71587562561035,-17.39495849609375,bag,False
-20.675565719604492,-13.784421920776367,bag,False
24.551847457885742,17.218975067138672,bag,False
24.434226989746094,14.892420768737793,bag,False
24.192596435546875,14.619874000549316,bag,False
23.51400375366211,15.086732864379883,bag,False
27.530235290527344,15.736746788024902,bag,False
24.70132827758789,15.7594633102417,bag,False
21.607202529907227,14.493143081665039,bag,False
22.24565887451172,13.151211738586426,bag,False
10.697162628173828,18.66766929626465,board,False
10.698834419250488,19.517749786376953,board,False
10.65544605255127,19.902938842773438,board,False
9.468391418457031,17.031293869018555,board,False
10.98414421081543,16.578866958618164,board,False
10.798506736755371,17.590206146240234,board,False
10.850122451782227,17.482404708862305,board,False
-10.752973556518555,5.879766941070557,box,False
-12.034341812133789,4.8778767585754395,box,False
-10.611184120178223,5.215863227844238,box,False
-10.748720169067383,6.563056468963623,box,False
-11.947562217712402,7.375990390777588,box,False
-13.081923484802246,7.904543399810791,box,False
-11.960747718811035,7.781701564788818,box,False
7.652518272399902,13.976669311523438,cone,False
9.813421249389648,14.892097473144531,cone,False
6.018762588500977,13.49846363067627,cone,False
8.526688575744629,13.226540565490723,cone,False
5.8236985206604,13.477740287780762,cone,False
10.387537002563477,14.691915512084961,cone,False
9.072626113891602,13.673864364624023,cone,False
9.001415252685547,15.840378761291504,cone,False
10.828186988830566,13.711377143859863,cone,False
13.106889724731445,13.157668113708496,cone,False
14.030978202819824,11.354140281677246,cone,False
13.29848861694336,13.06566333770752,cone,False
13.554401397705078,11.372421264648438,cone,False
14.094416618347168,12.703805923461914,cone,False
12.592291831970215,11.87854290008545,cone,False
14.300366401672363,13.112692832946777,cone,False
12.8069486618042,11.72512435913086,cone,False
-22.4625186920166,-19.704164505004883,dead grass,False
-1.7550182342529297,0.9302170276641846,dead grass,False
-7.376778602600098,-23.49350929260254,dead grass,False
3.926628589630127,-22.307750701904297,dead grass,False
-10.139349937438965,-19.969341278076172,dead grass,False
-12.539718627929688,-23.860567092895508,dead grass,False
-4.879764080047607,-21.745885848999023,dead grass,False
-6.646718978881836,-16.571517944335938,dead grass,False
-11.007176399230957,-15.371394157409668,dead grass,False
3.496319055557251,2.665801763534546,dead grass,False
-5.334188461303711,3.4383397102355957,dead grass,False
-12.59721851348877,-25.406375885009766,dead grass,False
-8.710714340209961,-13.911279678344727,dead grass,False
-8.946321487426758,-21.829967498779297,dead grass,False
-1.8876363039016724,-15.519696235656738,dead grass,False
-5.926173686981201,-4.890981197357178,dead grass,False
-4.766092300415039,2.9845831394195557,dead grass,False
-13.6560640335083,-12.068735122680664,dead grass,False
6.763482093811035,-5.9513983726501465,dead grass,False
-7.2269287109375,-18.80549430847168,dead grass,False
-5.58875036239624,-12.522547721862793,dead grass,False
-3.860483407974243,-23.137907028198242,dead grass,False
-4.407445430755615,-18.21120262145996,dead grass,False
3.2778329849243164,-1.804043173789978,dead grass,False
6.5961480140686035,0.20620308816432953,dead grass,False
-9.199686050415039,-5.7976813316345215,dead grass,False
-1.546824336051941,-21.6560115814209,dead grass,False
5.122775554656982,5.229635238647461,dead grass,False
-12.536439895629883,-18.296581268310547,dead grass,False
4.026306629180908,-1.252593994140625,dead grass,False
-4.277493953704834,1.6790376901626587,dead grass,False
-3.3167731761932373,2.1648499965667725,dead grass,False
6.705252647399902,5.313005447387695,dead grass,False
1.600598692893982,-4.533172607421875,dead grass,False
-3.6430251598358154,-26.254533767700195,dead grass,False
-7.2291154861450195,-21.629465103149414,dead grass,False
0.20985953509807587,-25.848312377929688,dead grass,False
0.6045239567756653,-2.493457317352295,dead grass,False
-4.129873752593994,-5.473649501800537,dead grass,False
0.03623421862721443,-15.588863372802734,dead grass,False
3.293959140777588,-18.624420166015625,dead grass,False
-9.007867813110352,-13.935206413269043,dead grass,False
-8.472999572753906,-20.037904739379883,dead grass,False
2.875438690185547,-0.36446836590766907,dead grass,False
-3.375351667404175,-10.39071273803711,dead grass,False
-6.44926643371582,-25.407495498657227,dead grass,False
-7.642671585083008,-14.35556697845459,dead grass,False
7.559505462646484,-0.5345011949539185,dead grass,False
-11.471742630004883,-13.542664527893066,dead grass,False
-7.645762920379639,2.8321259021759033,dead grass,False
5.437453746795654,-16.778484344482422,dirt,False
-3.8469977378845215,-19.9547119140625,dirt,False
-6.163112640380859,-22.898414611816406,dirt,False
-18.225828170776367,-12.644686698913574,dirt,False
-9.658281326293945,-22.41608428955078,dirt,False
1.1220773458480835,-18.83393096923828,dirt,False
7.524594783782959,6.0095696449279785,dirt,False
-9.16472339630127,-10.47001838684082,dirt,False
1.7928822040557861,-13.747123718261719,dirt,False
-1.8052482604980469,-20.125215530395508,dirt,False
-4.665459632873535,-2.4597740173339844,dirt,False
1.2083581686019897,-16.627470016479492,dirt,False
7.4360785484313965,-8.479338645935059,dirt,False
6.378854751586914,3.508197784423828,dirt,False
-10.735987663269043,-16.997859954833984,dirt,False
5.708341598510742,-14.551478385925293,dirt,False
-1.4276014566421509,-18.52105712890625,dirt,False
-8.713326454162598,-23.427799224853516,dirt,False
-10.240803718566895,-22.199386596679688,dirt,False
5.863028526306152,2.4918582439422607,dirt,False
5.542159557342529,-15.277722358703613,dirt,False
7.479067325592041,-8.28666877746582,dirt,False
3.0543863773345947,5.647767543792725,dirt,False
4.162337303161621,-12.830164909362793,dirt,False
-1.0211595296859741,-19.900339126586914,dirt,False
-6.2755913734436035,-19.468578338623047,dirt,False
3.7964446544647217,-16.58816146850586,dirt,False
-11.418402671813965,-25.17286491394043,dirt,False
3.2995755672454834,2.7806005477905273,dirt,False
-1.8832728862762451,-10.90011978149414,dirt,False
-12.439888954162598,-23.832250595092773,dirt,False
4.423035144805908,-14.818548202514648,dirt,False
7.517887592315674,5.0760369300842285,dirt,False
3.8650405406951904,-13.730951309204102,dirt,False
23.678991317749023,11.784534454345703,dirt,False
5.610655307769775,-16.47694969177246,dirt,False
-2.023047924041748,-18.091163635253906,dirt,False
-3.2607462406158447,-18.661069869995117,dirt,False
6.121886253356934,-4.989418029785156,dirt,False
5.366647720336914,2.0794496536254883,dirt,False
-0.12577593326568604,-19.221731185913086,dirt,False
-1.2697288990020752,-16.43400001525879,dirt,False
3.5512197017669678,-15.717880249023438,dirt,False
-0.2766774594783783,2.4509527683258057,dirt,False
3.383531332015991,-18.398725509643555,dirt,False
5.595973968505859,-13.806702613830566,dirt,False
2.474191427230835,-7.381566047668457,dirt,False
2.955453634262085,-14.051783561706543,dirt,False
-5.846184253692627,-19.640052795410156,dirt,False
-0.5432910919189453,-20.547204971313477,dirt,False
